"Year","Emission category","Greenhouse gas","Emission, thousand tonnes of CO2 eq. (GWP=AR5)"
"2000","4C(iii) Grassland: N2O emissions from nitrogen mineralization associated with loss of soil organic matter in mineral soils","F-gases (HFCs+PFCs+SF6)",-
"2000","4C(iii) Grassland: N2O emissions from nitrogen mineralization associated with loss of soil organic matter in mineral soils","Hydrofluorocarbons (HFCs)",-
"2000","4C(iii) Grassland: N2O emissions from nitrogen mineralization associated with loss of soil organic matter in mineral soils","Perfluorocarbons (PFCs)",-
"2000","4C(iii) Grassland: N2O emissions from nitrogen mineralization associated with loss of soil organic matter in mineral soils","Sulfur hexafluoride (SF6)",-
"2000","4C(v) Grassland: biomass burning (wildfires, prescribed and restoration burnings)","Total",0
"2000","4C(v) Grassland: biomass burning (wildfires, prescribed and restoration burnings)","Carbon dioxide (CO2)",-
"2000","4C(v) Grassland: biomass burning (wildfires, prescribed and restoration burnings)","Methane (CH4)",0
"2000","4C(v) Grassland: biomass burning (wildfires, prescribed and restoration burnings)","Nitrous oxide (N2O)",0
"2000","4C(v) Grassland: biomass burning (wildfires, prescribed and restoration burnings)","F-gases (HFCs+PFCs+SF6)",-
"2000","4C(v) Grassland: biomass burning (wildfires, prescribed and restoration burnings)","Hydrofluorocarbons (HFCs)",-
"2000","4C(v) Grassland: biomass burning (wildfires, prescribed and restoration burnings)","Perfluorocarbons (PFCs)",-
"2000","4C(v) Grassland: biomass burning (wildfires, prescribed and restoration burnings)","Sulfur hexafluoride (SF6)",-
"2000","4D Wetlands","Total",1794
"2000","4D Wetlands","Carbon dioxide (CO2)",1654
"2000","4D Wetlands","Methane (CH4)",66
"2000","4D Wetlands","Nitrous oxide (N2O)",74
"2000","4D Wetlands","F-gases (HFCs+PFCs+SF6)",-
"2000","4D Wetlands","Hydrofluorocarbons (HFCs)",-
"2000","4D Wetlands","Perfluorocarbons (PFCs)",-
"2000","4D Wetlands","Sulfur hexafluoride (SF6)",-
"2000","4Di Wetlands: biomass","Total",72
"2000","4Di Wetlands: biomass","Carbon dioxide (CO2)",72
"2000","4Di Wetlands: biomass","Methane (CH4)",-
"2000","4Di Wetlands: biomass","Nitrous oxide (N2O)",-
"2000","4Di Wetlands: biomass","F-gases (HFCs+PFCs+SF6)",-
"2000","4Di Wetlands: biomass","Hydrofluorocarbons (HFCs)",-
"2000","4Di Wetlands: biomass","Perfluorocarbons (PFCs)",-
"2000","4Di Wetlands: biomass","Sulfur hexafluoride (SF6)",-
"2000","4Diii Wetlands: dead wood","Total",1
"2000","4Diii Wetlands: dead wood","Carbon dioxide (CO2)",1
"2000","4Diii Wetlands: dead wood","Methane (CH4)",-
"2000","4Diii Wetlands: dead wood","Nitrous oxide (N2O)",-
"2000","4Diii Wetlands: dead wood","F-gases (HFCs+PFCs+SF6)",-
"2000","4Diii Wetlands: dead wood","Hydrofluorocarbons (HFCs)",-
"2000","4Diii Wetlands: dead wood","Perfluorocarbons (PFCs)",-
"2000","4Diii Wetlands: dead wood","Sulfur hexafluoride (SF6)",-
"2000","4Dv Wetlands: SOM","Total",1581
"2000","4Dv Wetlands: SOM","Carbon dioxide (CO2)",1581
"2000","4Dv Wetlands: SOM","Methane (CH4)",-
"2000","4Dv Wetlands: SOM","Nitrous oxide (N2O)",-
"2000","4Dv Wetlands: SOM","F-gases (HFCs+PFCs+SF6)",-
"2000","4Dv Wetlands: SOM","Hydrofluorocarbons (HFCs)",-
"2000","4Dv Wetlands: SOM","Perfluorocarbons (PFCs)",-
"2000","4Dv Wetlands: SOM","Sulfur hexafluoride (SF6)",-
"2000","4D(ii) Wetlands: emissions and removals from drainage and rewetting","Total",140
"2000","4D(ii) Wetlands: emissions and removals from drainage and rewetting","Carbon dioxide (CO2)",-
"2000","4D(ii) Wetlands: emissions and removals from drainage and rewetting","Methane (CH4)",66
"2000","4D(ii) Wetlands: emissions and removals from drainage and rewetting","Nitrous oxide (N2O)",74
"2000","4D(ii) Wetlands: emissions and removals from drainage and rewetting","F-gases (HFCs+PFCs+SF6)",-
"2000","4D(ii) Wetlands: emissions and removals from drainage and rewetting","Hydrofluorocarbons (HFCs)",-
"2000","4D(ii) Wetlands: emissions and removals from drainage and rewetting","Perfluorocarbons (PFCs)",-
"2000","4D(ii) Wetlands: emissions and removals from drainage and rewetting","Sulfur hexafluoride (SF6)",-
"2000","4E Settlements","Total",1291
"2000","4E Settlements","Carbon dioxide (CO2)",1279
"2000","4E Settlements","Methane (CH4)",-
"2000","4E Settlements","Nitrous oxide (N2O)",12
"2000","4E Settlements","F-gases (HFCs+PFCs+SF6)",-
"2000","4E Settlements","Hydrofluorocarbons (HFCs)",-
"2000","4E Settlements","Perfluorocarbons (PFCs)",-
"2000","4E Settlements","Sulfur hexafluoride (SF6)",-
"2000","4Ei Settlements: biomass","Total",1092
"2000","4Ei Settlements: biomass","Carbon dioxide (CO2)",1092
"2000","4Ei Settlements: biomass","Methane (CH4)",-
"2000","4Ei Settlements: biomass","Nitrous oxide (N2O)",-
"2000","4Ei Settlements: biomass","F-gases (HFCs+PFCs+SF6)",-
"2000","4Ei Settlements: biomass","Hydrofluorocarbons (HFCs)",-
"2000","4Ei Settlements: biomass","Perfluorocarbons (PFCs)",-
"2000","4Ei Settlements: biomass","Sulfur hexafluoride (SF6)",-
"2000","4Eiii Settlements: dead wood","Total",24
"2000","4Eiii Settlements: dead wood","Carbon dioxide (CO2)",24
"2000","4Eiii Settlements: dead wood","Methane (CH4)",-
"2000","4Eiii Settlements: dead wood","Nitrous oxide (N2O)",-
"2000","4Eiii Settlements: dead wood","F-gases (HFCs+PFCs+SF6)",-
"2000","4Eiii Settlements: dead wood","Hydrofluorocarbons (HFCs)",-
"2000","4Eiii Settlements: dead wood","Perfluorocarbons (PFCs)",-
"2000","4Eiii Settlements: dead wood","Sulfur hexafluoride (SF6)",-
"2000","4Ev Settlements: SOM  and litter","Total",162
"2000","4Ev Settlements: SOM  and litter","Carbon dioxide (CO2)",162
"2000","4Ev Settlements: SOM  and litter","Methane (CH4)",-
"2000","4Ev Settlements: SOM  and litter","Nitrous oxide (N2O)",-
"2000","4Ev Settlements: SOM  and litter","F-gases (HFCs+PFCs+SF6)",-
"2000","4Ev Settlements: SOM  and litter","Hydrofluorocarbons (HFCs)",-
"2000","4Ev Settlements: SOM  and litter","Perfluorocarbons (PFCs)",-
"2000","4Ev Settlements: SOM  and litter","Sulfur hexafluoride (SF6)",-
"2000","4E(iii) Settlements: N2O emissions from nitrogen mineralization associated with loss of soil organic matter in mineral soils","Total",12
"2000","4E(iii) Settlements: N2O emissions from nitrogen mineralization associated with loss of soil organic matter in mineral soils","Carbon dioxide (CO2)",-
"2000","4E(iii) Settlements: N2O emissions from nitrogen mineralization associated with loss of soil organic matter in mineral soils","Methane (CH4)",-
"2000","4E(iii) Settlements: N2O emissions from nitrogen mineralization associated with loss of soil organic matter in mineral soils","Nitrous oxide (N2O)",12
"2000","4E(iii) Settlements: N2O emissions from nitrogen mineralization associated with loss of soil organic matter in mineral soils","F-gases (HFCs+PFCs+SF6)",-
"2000","4E(iii) Settlements: N2O emissions from nitrogen mineralization associated with loss of soil organic matter in mineral soils","Hydrofluorocarbons (HFCs)",-
"2000","4E(iii) Settlements: N2O emissions from nitrogen mineralization associated with loss of soil organic matter in mineral soils","Perfluorocarbons (PFCs)",-
"2000","4E(iii) Settlements: N2O emissions from nitrogen mineralization associated with loss of soil organic matter in mineral soils","Sulfur hexafluoride (SF6)",-
"2000","4G Harvested wood products","Total",-6607
"2000","4G Harvested wood products","Carbon dioxide (CO2)",-6607
"2000","4G Harvested wood products","Methane (CH4)",-
"2000","4G Harvested wood products","Nitrous oxide (N2O)",-
"2000","4G Harvested wood products","F-gases (HFCs+PFCs+SF6)",-
"2000","4G Harvested wood products","Hydrofluorocarbons (HFCs)",-
"2000","4G Harvested wood products","Perfluorocarbons (PFCs)",-
"2000","4G Harvested wood products","Sulfur hexafluoride (SF6)",-
"2000","4(IV) Indirect N2O emissions","Total",1
"2000","4(IV) Indirect N2O emissions","Carbon dioxide (CO2)",-
"2000","4(IV) Indirect N2O emissions","Methane (CH4)",-
"2000","4(IV) Indirect N2O emissions","Nitrous oxide (N2O)",1
"2000","4(IV) Indirect N2O emissions","F-gases (HFCs+PFCs+SF6)",-
"2000","4(IV) Indirect N2O emissions","Hydrofluorocarbons (HFCs)",-
"2000","4(IV) Indirect N2O emissions","Perfluorocarbons (PFCs)",-
"2000","4(IV) Indirect N2O emissions","Sulfur hexafluoride (SF6)",-
"2000","5 Waste management","Total",4251
"2000","5 Waste management","Carbon dioxide (CO2)",-
"2000","5 Waste management","Methane (CH4)",4156
"2000","5 Waste management","Nitrous oxide (N2O)",94
"2000","5 Waste management","F-gases (HFCs+PFCs+SF6)",-
"2000","5 Waste management","Hydrofluorocarbons (HFCs)",-
"2000","5 Waste management","Perfluorocarbons (PFCs)",-
"2000","5 Waste management","Sulfur hexafluoride (SF6)",-
"2000","5A Waste disposal","Total",3879
"2000","5A Waste disposal","Carbon dioxide (CO2)",-
"2000","5A Waste disposal","Methane (CH4)",3879
"2000","5A Waste disposal","Nitrous oxide (N2O)",-
"2000","5A Waste disposal","F-gases (HFCs+PFCs+SF6)",-
"2000","5A Waste disposal","Hydrofluorocarbons (HFCs)",-
"2000","5A Waste disposal","Perfluorocarbons (PFCs)",-
"2000","5A Waste disposal","Sulfur hexafluoride (SF6)",-
"2000","5B Biological treatment of  waste","Total",100
"2000","5B Biological treatment of  waste","Carbon dioxide (CO2)",-
"2000","5B Biological treatment of  waste","Methane (CH4)",64
"2000","5B Biological treatment of  waste","Nitrous oxide (N2O)",36
"2000","5B Biological treatment of  waste","F-gases (HFCs+PFCs+SF6)",-
"2000","5B Biological treatment of  waste","Hydrofluorocarbons (HFCs)",-
"2000","5B Biological treatment of  waste","Perfluorocarbons (PFCs)",-
"2000","5B Biological treatment of  waste","Sulfur hexafluoride (SF6)",-
"2000","5D Wastewater treatment and discharge","Total",271
"2000","5D Wastewater treatment and discharge","Carbon dioxide (CO2)",-
"2000","5D Wastewater treatment and discharge","Methane (CH4)",213
"2000","5D Wastewater treatment and discharge","Nitrous oxide (N2O)",58
"2000","5D Wastewater treatment and discharge","F-gases (HFCs+PFCs+SF6)",-
"2000","5D Wastewater treatment and discharge","Hydrofluorocarbons (HFCs)",-
"2000","5D Wastewater treatment and discharge","Perfluorocarbons (PFCs)",-
"2000","5D Wastewater treatment and discharge","Sulfur hexafluoride (SF6)",-
"2000","Indirect CO2 emission","Total",107
"2000","Indirect CO2 emission","Carbon dioxide (CO2)",107
"2000","Indirect CO2 emission","Methane (CH4)",-
"2000","Indirect CO2 emission","Nitrous oxide (N2O)",-
"2000","Indirect CO2 emission","F-gases (HFCs+PFCs+SF6)",-
"2000","Indirect CO2 emission","Hydrofluorocarbons (HFCs)",-
"2000","Indirect CO2 emission","Perfluorocarbons (PFCs)",-
"2000","Indirect CO2 emission","Sulfur hexafluoride (SF6)",-
"2001","Emissions without LULUCF","Total",75537
"2001","Emissions without LULUCF","Carbon dioxide (CO2)",62628
"2001","Emissions without LULUCF","Methane (CH4)",7146
"2001","Emissions without LULUCF","Nitrous oxide (N2O)",4968
"2001","Emissions without LULUCF","F-gases (HFCs+PFCs+SF6)",795
"2001","Emissions without LULUCF","Hydrofluorocarbons (HFCs)",764
"2001","Emissions without LULUCF","Perfluorocarbons (PFCs)",4
"2001","Emissions without LULUCF","Sulfur hexafluoride (SF6)",26
"2001","Emissions with LULUCF","Total",53661
"2001","Emissions with LULUCF","Carbon dioxide (CO2)",37457
"2001","Emissions with LULUCF","Methane (CH4)",8624
"2001","Emissions with LULUCF","Nitrous oxide (N2O)",6786
"2001","Emissions with LULUCF","F-gases (HFCs+PFCs+SF6)",795
"2001","Emissions with LULUCF","Hydrofluorocarbons (HFCs)",764
"2001","Emissions with LULUCF","Perfluorocarbons (PFCs)",4
"2001","Emissions with LULUCF","Sulfur hexafluoride (SF6)",26
"2001","1 Energy","Total",59128
"2001","1 Energy","Carbon dioxide (CO2)",58150
"2001","1 Energy","Methane (CH4)",412
"2001","1 Energy","Nitrous oxide (N2O)",565
"2001","1 Energy","F-gases (HFCs+PFCs+SF6)",-
"2001","1 Energy","Hydrofluorocarbons (HFCs)",-
"2001","1 Energy","Perfluorocarbons (PFCs)",-
"2001","1 Energy","Sulfur hexafluoride (SF6)",-
"2001","1A1 Energy industries","Total",27551
"2001","1A1 Energy industries","Carbon dioxide (CO2)",27307
"2001","1A1 Energy industries","Methane (CH4)",26
"2001","1A1 Energy industries","Nitrous oxide (N2O)",219
"2001","1A1 Energy industries","F-gases (HFCs+PFCs+SF6)",-
"2001","1A1 Energy industries","Hydrofluorocarbons (HFCs)",-
"2001","1A1 Energy industries","Perfluorocarbons (PFCs)",-
"2001","1A1 Energy industries","Sulfur hexafluoride (SF6)",-
"2001","1A2 Manufacturing industries and construction","Total",11471
"2001","1A2 Manufacturing industries and construction","Carbon dioxide (CO2)",11294
"2001","1A2 Manufacturing industries and construction","Methane (CH4)",19
"2001","1A2 Manufacturing industries and construction","Nitrous oxide (N2O)",157
"2001","1A2 Manufacturing industries and construction","F-gases (HFCs+PFCs+SF6)",-
"2001","1A2 Manufacturing industries and construction","Hydrofluorocarbons (HFCs)",-
"2001","1A2 Manufacturing industries and construction","Perfluorocarbons (PFCs)",-
"2001","1A2 Manufacturing industries and construction","Sulfur hexafluoride (SF6)",-
"2001","1A2(-1A2gvii) Manufacturing industries and construction excl. off-road vehicles and other machinery","Total",10423
"2001","1A2(-1A2gvii) Manufacturing industries and construction excl. off-road vehicles and other machinery","Carbon dioxide (CO2)",10256
"2001","1A2(-1A2gvii) Manufacturing industries and construction excl. off-road vehicles and other machinery","Methane (CH4)",17
"2001","1A2(-1A2gvii) Manufacturing industries and construction excl. off-road vehicles and other machinery","Nitrous oxide (N2O)",150
"2001","1A2(-1A2gvii) Manufacturing industries and construction excl. off-road vehicles and other machinery","F-gases (HFCs+PFCs+SF6)",-
"2001","1A2(-1A2gvii) Manufacturing industries and construction excl. off-road vehicles and other machinery","Hydrofluorocarbons (HFCs)",-
"2001","1A2(-1A2gvii) Manufacturing industries and construction excl. off-road vehicles and other machinery","Perfluorocarbons (PFCs)",-
"2001","1A2(-1A2gvii) Manufacturing industries and construction excl. off-road vehicles and other machinery","Sulfur hexafluoride (SF6)",-
"2001","1A2gvii Off-road vehicles and other machinery production","Total",1047
"2001","1A2gvii Off-road vehicles and other machinery production","Carbon dioxide (CO2)",1038
"2001","1A2gvii Off-road vehicles and other machinery production","Methane (CH4)",2
"2001","1A2gvii Off-road vehicles and other machinery production","Nitrous oxide (N2O)",7
"2001","1A2gvii Off-road vehicles and other machinery production","F-gases (HFCs+PFCs+SF6)",-
"2001","1A2gvii Off-road vehicles and other machinery production","Hydrofluorocarbons (HFCs)",-
"2001","1A2gvii Off-road vehicles and other machinery production","Perfluorocarbons (PFCs)",-
"2001","1A2gvii Off-road vehicles and other machinery production","Sulfur hexafluoride (SF6)",-
"2001","1A3 Transport","Total",12178
"2001","1A3 Transport","Carbon dioxide (CO2)",12007
"2001","1A3 Transport","Methane (CH4)",61
"2001","1A3 Transport","Nitrous oxide (N2O)",110
"2001","1A3 Transport","F-gases (HFCs+PFCs+SF6)",-
"2001","1A3 Transport","Hydrofluorocarbons (HFCs)",-
"2001","1A3 Transport","Perfluorocarbons (PFCs)",-
"2001","1A3 Transport","Sulfur hexafluoride (SF6)",-
"2001","1A3a Domestic aviation","Total",375
"2001","1A3a Domestic aviation","Carbon dioxide (CO2)",372
"2001","1A3a Domestic aviation","Methane (CH4)",0
"2001","1A3a Domestic aviation","Nitrous oxide (N2O)",3
"2001","1A3a Domestic aviation","F-gases (HFCs+PFCs+SF6)",-
"2001","1A3a Domestic aviation","Hydrofluorocarbons (HFCs)",-
"2001","1A3a Domestic aviation","Perfluorocarbons (PFCs)",-
"2001","1A3a Domestic aviation","Sulfur hexafluoride (SF6)",-
"2001","1A3b Road transportation","Total",11173
"2001","1A3b Road transportation","Carbon dioxide (CO2)",11014
"2001","1A3b Road transportation","Methane (CH4)",55
"2001","1A3b Road transportation","Nitrous oxide (N2O)",104
"2001","1A3b Road transportation","F-gases (HFCs+PFCs+SF6)",-
"2001","1A3b Road transportation","Hydrofluorocarbons (HFCs)",-
"2001","1A3b Road transportation","Perfluorocarbons (PFCs)",-
"2001","1A3b Road transportation","Sulfur hexafluoride (SF6)",-
"2001","1A3c Railways","Total",143
"2001","1A3c Railways","Carbon dioxide (CO2)",142
"2001","1A3c Railways","Methane (CH4)",0
"2001","1A3c Railways","Nitrous oxide (N2O)",1
"2001","1A3c Railways","F-gases (HFCs+PFCs+SF6)",-
"2001","1A3c Railways","Hydrofluorocarbons (HFCs)",-
"2001","1A3c Railways","Perfluorocarbons (PFCs)",-
"2001","1A3c Railways","Sulfur hexafluoride (SF6)",-
"2001","1A3d Domestic navigation","Total",488
"2001","1A3d Domestic navigation","Carbon dioxide (CO2)",479
"2001","1A3d Domestic navigation","Methane (CH4)",6
"2001","1A3d Domestic navigation","Nitrous oxide (N2O)",3
"2001","1A3d Domestic navigation","F-gases (HFCs+PFCs+SF6)",-
"2001","1A3d Domestic navigation","Hydrofluorocarbons (HFCs)",-
"2001","1A3d Domestic navigation","Perfluorocarbons (PFCs)",-
"2001","1A3d Domestic navigation","Sulfur hexafluoride (SF6)",-
"2001","1A4 Other sectors","Total",6269
"2001","1A4 Other sectors","Carbon dioxide (CO2)",5986
"2001","1A4 Other sectors","Methane (CH4)",214
"2001","1A4 Other sectors","Nitrous oxide (N2O)",70
"2001","1A4 Other sectors","F-gases (HFCs+PFCs+SF6)",-
"2001","1A4 Other sectors","Hydrofluorocarbons (HFCs)",-
"2001","1A4 Other sectors","Perfluorocarbons (PFCs)",-
"2001","1A4 Other sectors","Sulfur hexafluoride (SF6)",-
"2001","1A4a Commercial and institutional","Total",1632
"2001","1A4a Commercial and institutional","Carbon dioxide (CO2)",1613
"2001","1A4a Commercial and institutional","Methane (CH4)",7
"2001","1A4a Commercial and institutional","Nitrous oxide (N2O)",12
"2001","1A4a Commercial and institutional","F-gases (HFCs+PFCs+SF6)",-
"2001","1A4a Commercial and institutional","Hydrofluorocarbons (HFCs)",-
"2001","1A4a Commercial and institutional","Perfluorocarbons (PFCs)",-
"2001","1A4a Commercial and institutional","Sulfur hexafluoride (SF6)",-
"2001","1A4ai Commercial/institutional, stationary","Total",1184
"2001","1A4ai Commercial/institutional, stationary","Carbon dioxide (CO2)",1170
"2001","1A4ai Commercial/institutional, stationary","Methane (CH4)",4
"2001","1A4ai Commercial/institutional, stationary","Nitrous oxide (N2O)",10
"2001","1A4ai Commercial/institutional, stationary","F-gases (HFCs+PFCs+SF6)",-
"2001","1A4ai Commercial/institutional, stationary","Hydrofluorocarbons (HFCs)",-
"2001","1A4ai Commercial/institutional, stationary","Perfluorocarbons (PFCs)",-
"2001","1A4ai Commercial/institutional, stationary","Sulfur hexafluoride (SF6)",-
"2001","1A4aii Commercial/institutional, off-road vehicles and other machinery","Total",448
"2001","1A4aii Commercial/institutional, off-road vehicles and other machinery","Carbon dioxide (CO2)",443
"2001","1A4aii Commercial/institutional, off-road vehicles and other machinery","Methane (CH4)",3
"2001","1A4aii Commercial/institutional, off-road vehicles and other machinery","Nitrous oxide (N2O)",2
"2001","1A4aii Commercial/institutional, off-road vehicles and other machinery","F-gases (HFCs+PFCs+SF6)",-
"2001","1A4aii Commercial/institutional, off-road vehicles and other machinery","Hydrofluorocarbons (HFCs)",-
"2001","1A4aii Commercial/institutional, off-road vehicles and other machinery","Perfluorocarbons (PFCs)",-
"2001","1A4aii Commercial/institutional, off-road vehicles and other machinery","Sulfur hexafluoride (SF6)",-
"2001","1A4b Residential","Total",2942
"2001","1A4b Residential","Carbon dioxide (CO2)",2697
"2001","1A4b Residential","Methane (CH4)",200
"2001","1A4b Residential","Nitrous oxide (N2O)",44
"2001","1A4b Residential","F-gases (HFCs+PFCs+SF6)",-
"2001","1A4b Residential","Hydrofluorocarbons (HFCs)",-
"2001","1A4b Residential","Perfluorocarbons (PFCs)",-
"2001","1A4b Residential","Sulfur hexafluoride (SF6)",-
"2001","1A4bi Residential, stationary","Total",2764
"2001","1A4bi Residential, stationary","Carbon dioxide (CO2)",2525
"2001","1A4bi Residential, stationary","Methane (CH4)",196
"2001","1A4bi Residential, stationary","Nitrous oxide (N2O)",43
"2001","1A4bi Residential, stationary","F-gases (HFCs+PFCs+SF6)",-
"2001","1A4bi Residential, stationary","Hydrofluorocarbons (HFCs)",-
"2001","1A4bi Residential, stationary","Perfluorocarbons (PFCs)",-
"2001","1A4bi Residential, stationary","Sulfur hexafluoride (SF6)",-
"2001","1A4bii Residential, off-road vehicles and other machinery","Total",178
"2001","1A4bii Residential, off-road vehicles and other machinery","Carbon dioxide (CO2)",173
"2001","1A4bii Residential, off-road vehicles and other machinery","Methane (CH4)",5
"2001","1A4bii Residential, off-road vehicles and other machinery","Nitrous oxide (N2O)",1
"2001","1A4bii Residential, off-road vehicles and other machinery","F-gases (HFCs+PFCs+SF6)",-
"2001","1A4bii Residential, off-road vehicles and other machinery","Hydrofluorocarbons (HFCs)",-
"2001","1A4bii Residential, off-road vehicles and other machinery","Perfluorocarbons (PFCs)",-
"2001","1A4bii Residential, off-road vehicles and other machinery","Sulfur hexafluoride (SF6)",-
"2001","1A4c Agriculture, forestry anf fishing","Total",1696
"2001","1A4c Agriculture, forestry anf fishing","Carbon dioxide (CO2)",1676
"2001","1A4c Agriculture, forestry anf fishing","Methane (CH4)",6
"2001","1A4c Agriculture, forestry anf fishing","Nitrous oxide (N2O)",14
"2001","1A4c Agriculture, forestry anf fishing","F-gases (HFCs+PFCs+SF6)",-
"2001","1A4c Agriculture, forestry anf fishing","Hydrofluorocarbons (HFCs)",-
"2001","1A4c Agriculture, forestry anf fishing","Perfluorocarbons (PFCs)",-
"2001","1A4c Agriculture, forestry anf fishing","Sulfur hexafluoride (SF6)",-
"2001","1A4ci Agriculture/forestry, stationary","Total",659
"2001","1A4ci Agriculture/forestry, stationary","Carbon dioxide (CO2)",648
"2001","1A4ci Agriculture/forestry, stationary","Methane (CH4)",4
"2001","1A4ci Agriculture/forestry, stationary","Nitrous oxide (N2O)",7
"2001","1A4ci Agriculture/forestry, stationary","F-gases (HFCs+PFCs+SF6)",-
"2001","1A4ci Agriculture/forestry, stationary","Hydrofluorocarbons (HFCs)",-
"2001","1A4ci Agriculture/forestry, stationary","Perfluorocarbons (PFCs)",-
"2001","1A4ci Agriculture/forestry, stationary","Sulfur hexafluoride (SF6)",-
"2001","1A4cii Agriculture/forestry, off-road vehicles and other machinery","Total",902
"2001","1A4cii Agriculture/forestry, off-road vehicles and other machinery","Carbon dioxide (CO2)",894
"2001","1A4cii Agriculture/forestry, off-road vehicles and other machinery","Methane (CH4)",2
"2001","1A4cii Agriculture/forestry, off-road vehicles and other machinery","Nitrous oxide (N2O)",6
"2001","1A4cii Agriculture/forestry, off-road vehicles and other machinery","F-gases (HFCs+PFCs+SF6)",-
"2001","1A4cii Agriculture/forestry, off-road vehicles and other machinery","Hydrofluorocarbons (HFCs)",-
"2001","1A4cii Agriculture/forestry, off-road vehicles and other machinery","Perfluorocarbons (PFCs)",-
"2001","1A4cii Agriculture/forestry, off-road vehicles and other machinery","Sulfur hexafluoride (SF6)",-
"2001","1A4ciii Fishing","Total",135
"2001","1A4ciii Fishing","Carbon dioxide (CO2)",134
"2001","1A4ciii Fishing","Methane (CH4)",0
"2001","1A4ciii Fishing","Nitrous oxide (N2O)",1
"2001","1A4ciii Fishing","F-gases (HFCs+PFCs+SF6)",-
"2001","1A4ciii Fishing","Hydrofluorocarbons (HFCs)",-
"2001","1A4ciii Fishing","Perfluorocarbons (PFCs)",-
"2001","1A4ciii Fishing","Sulfur hexafluoride (SF6)",-
"2001","1A5 Other fuel use","Total",1518
"2001","1A5 Other fuel use","Carbon dioxide (CO2)",1504
"2001","1A5 Other fuel use","Methane (CH4)",5
"2001","1A5 Other fuel use","Nitrous oxide (N2O)",9
"2001","1A5 Other fuel use","F-gases (HFCs+PFCs+SF6)",-
"2001","1A5 Other fuel use","Hydrofluorocarbons (HFCs)",-
"2001","1A5 Other fuel use","Perfluorocarbons (PFCs)",-
"2001","1A5 Other fuel use","Sulfur hexafluoride (SF6)",-
"2001","1B Fugitive emissions from fuels","Total",141
"2001","1B Fugitive emissions from fuels","Carbon dioxide (CO2)",53
"2001","1B Fugitive emissions from fuels","Methane (CH4)",87
"2001","1B Fugitive emissions from fuels","Nitrous oxide (N2O)",1
"2001","1B Fugitive emissions from fuels","F-gases (HFCs+PFCs+SF6)",-
"2001","1B Fugitive emissions from fuels","Hydrofluorocarbons (HFCs)",-
"2001","1B Fugitive emissions from fuels","Perfluorocarbons (PFCs)",-
"2001","1B Fugitive emissions from fuels","Sulfur hexafluoride (SF6)",-
"2001","1D International transport","Total",2948
"2001","1D International transport","Carbon dioxide (CO2)",2923
"2001","1D International transport","Methane (CH4)",4
"2001","1D International transport","Nitrous oxide (N2O)",21
"2001","1D International transport","F-gases (HFCs+PFCs+SF6)",-
"2001","1D International transport","Hydrofluorocarbons (HFCs)",-
"2001","1D International transport","Perfluorocarbons (PFCs)",-
"2001","1D International transport","Sulfur hexafluoride (SF6)",-
"2001","1D1a International aviation","Total",1098
"2001","1D1a International aviation","Carbon dioxide (CO2)",1090
"2001","1D1a International aviation","Methane (CH4)",0
"2001","1D1a International aviation","Nitrous oxide (N2O)",8
"2001","1D1a International aviation","F-gases (HFCs+PFCs+SF6)",-
"2001","1D1a International aviation","Hydrofluorocarbons (HFCs)",-
"2001","1D1a International aviation","Perfluorocarbons (PFCs)",-
"2001","1D1a International aviation","Sulfur hexafluoride (SF6)",-
"2001","1D1b International navigation","Total",1850
"2001","1D1b International navigation","Carbon dioxide (CO2)",1833
"2001","1D1b International navigation","Methane (CH4)",4
"2001","1D1b International navigation","Nitrous oxide (N2O)",13
"2001","1D1b International navigation","F-gases (HFCs+PFCs+SF6)",-
"2001","1D1b International navigation","Hydrofluorocarbons (HFCs)",-
"2001","1D1b International navigation","Perfluorocarbons (PFCs)",-
"2001","1D1b International navigation","Sulfur hexafluoride (SF6)",-
"2001","2 Industrial processes and product use","Total",5899
"2001","2 Industrial processes and product use","Carbon dioxide (CO2)",3950
"2001","2 Industrial processes and product use","Methane (CH4)",4
"2001","2 Industrial processes and product use","Nitrous oxide (N2O)",1151
"2001","2 Industrial processes and product use","F-gases (HFCs+PFCs+SF6)",795
"2001","2 Industrial processes and product use","Hydrofluorocarbons (HFCs)",764
"2001","2 Industrial processes and product use","Perfluorocarbons (PFCs)",4
"2001","2 Industrial processes and product use","Sulfur hexafluoride (SF6)",26
"2001","2A Mineral industry","Total",1084
"2001","2A Mineral industry","Carbon dioxide (CO2)",1084
"2001","2A Mineral industry","Methane (CH4)",-
"2001","2A Mineral industry","Nitrous oxide (N2O)",-
"2001","2A Mineral industry","F-gases (HFCs+PFCs+SF6)",-
"2001","2A Mineral industry","Hydrofluorocarbons (HFCs)",-
"2001","2A Mineral industry","Perfluorocarbons (PFCs)",-
"2001","2A Mineral industry","Sulfur hexafluoride (SF6)",-
"2001","2B Chemical industry","Total",1390
"2001","2B Chemical industry","Carbon dioxide (CO2)",283
"2001","2B Chemical industry","Methane (CH4)",3
"2001","2B Chemical industry","Nitrous oxide (N2O)",1104
"2001","2B Chemical industry","F-gases (HFCs+PFCs+SF6)",-
"2001","2B Chemical industry","Hydrofluorocarbons (HFCs)",-
"2001","2B Chemical industry","Perfluorocarbons (PFCs)",-
"2001","2B Chemical industry","Sulfur hexafluoride (SF6)",-
"2001","2C Metal industry","Total",2440
