"Year","Emission category","Greenhouse gas","Emission, thousand tonnes of CO2 eq. (GWP=AR5)"
"1990","1A3b Road transportation","Sulfur hexafluoride (SF6)",-
"1990","1A3c Railways","Total",193
"1990","1A3c Railways","Carbon dioxide (CO2)",191
"1990","1A3c Railways","Methane (CH4)",0
"1990","1A3c Railways","Nitrous oxide (N2O)",1
"1990","1A3c Railways","F-gases (HFCs+PFCs+SF6)",-
"1990","1A3c Railways","Hydrofluorocarbons (HFCs)",-
"1990","1A3c Railways","Perfluorocarbons (PFCs)",-
"1990","1A3c Railways","Sulfur hexafluoride (SF6)",-
"1990","1A3d Domestic navigation","Total",450
"1990","1A3d Domestic navigation","Carbon dioxide (CO2)",441
"1990","1A3d Domestic navigation","Methane (CH4)",6
"1990","1A3d Domestic navigation","Nitrous oxide (N2O)",2
"1990","1A3d Domestic navigation","F-gases (HFCs+PFCs+SF6)",-
"1990","1A3d Domestic navigation","Hydrofluorocarbons (HFCs)",-
"1990","1A3d Domestic navigation","Perfluorocarbons (PFCs)",-
"1990","1A3d Domestic navigation","Sulfur hexafluoride (SF6)",-
"1990","1A4 Other sectors","Total",7750
"1990","1A4 Other sectors","Carbon dioxide (CO2)",7490
"1990","1A4 Other sectors","Methane (CH4)",183
"1990","1A4 Other sectors","Nitrous oxide (N2O)",78
"1990","1A4 Other sectors","F-gases (HFCs+PFCs+SF6)",-
"1990","1A4 Other sectors","Hydrofluorocarbons (HFCs)",-
"1990","1A4 Other sectors","Perfluorocarbons (PFCs)",-
"1990","1A4 Other sectors","Sulfur hexafluoride (SF6)",-
"1990","1A4a Commercial and institutional","Total",2500
"1990","1A4a Commercial and institutional","Carbon dioxide (CO2)",2473
"1990","1A4a Commercial and institutional","Methane (CH4)",9
"1990","1A4a Commercial and institutional","Nitrous oxide (N2O)",18
"1990","1A4a Commercial and institutional","F-gases (HFCs+PFCs+SF6)",-
"1990","1A4a Commercial and institutional","Hydrofluorocarbons (HFCs)",-
"1990","1A4a Commercial and institutional","Perfluorocarbons (PFCs)",-
"1990","1A4a Commercial and institutional","Sulfur hexafluoride (SF6)",-
"1990","1A4ai Commercial/institutional, stationary","Total",2073
"1990","1A4ai Commercial/institutional, stationary","Carbon dioxide (CO2)",2050
"1990","1A4ai Commercial/institutional, stationary","Methane (CH4)",7
"1990","1A4ai Commercial/institutional, stationary","Nitrous oxide (N2O)",16
"1990","1A4ai Commercial/institutional, stationary","F-gases (HFCs+PFCs+SF6)",-
"1990","1A4ai Commercial/institutional, stationary","Hydrofluorocarbons (HFCs)",-
"1990","1A4ai Commercial/institutional, stationary","Perfluorocarbons (PFCs)",-
"1990","1A4ai Commercial/institutional, stationary","Sulfur hexafluoride (SF6)",-
"1990","1A4aii Commercial/institutional, off-road vehicles and other machinery","Total",427
"1990","1A4aii Commercial/institutional, off-road vehicles and other machinery","Carbon dioxide (CO2)",423
"1990","1A4aii Commercial/institutional, off-road vehicles and other machinery","Methane (CH4)",2
"1990","1A4aii Commercial/institutional, off-road vehicles and other machinery","Nitrous oxide (N2O)",3
"1990","1A4aii Commercial/institutional, off-road vehicles and other machinery","F-gases (HFCs+PFCs+SF6)",-
"1990","1A4aii Commercial/institutional, off-road vehicles and other machinery","Hydrofluorocarbons (HFCs)",-
"1990","1A4aii Commercial/institutional, off-road vehicles and other machinery","Perfluorocarbons (PFCs)",-
"1990","1A4aii Commercial/institutional, off-road vehicles and other machinery","Sulfur hexafluoride (SF6)",-
"1990","1A4b Residential","Total",3357
"1990","1A4b Residential","Carbon dioxide (CO2)",3148
"1990","1A4b Residential","Methane (CH4)",166
"1990","1A4b Residential","Nitrous oxide (N2O)",43
"1990","1A4b Residential","F-gases (HFCs+PFCs+SF6)",-
"1990","1A4b Residential","Hydrofluorocarbons (HFCs)",-
"1990","1A4b Residential","Perfluorocarbons (PFCs)",-
"1990","1A4b Residential","Sulfur hexafluoride (SF6)",-
"1990","1A4bi Residential, stationary","Total",3214
"1990","1A4bi Residential, stationary","Carbon dioxide (CO2)",3009
"1990","1A4bi Residential, stationary","Methane (CH4)",162
"1990","1A4bi Residential, stationary","Nitrous oxide (N2O)",43
"1990","1A4bi Residential, stationary","F-gases (HFCs+PFCs+SF6)",-
"1990","1A4bi Residential, stationary","Hydrofluorocarbons (HFCs)",-
"1990","1A4bi Residential, stationary","Perfluorocarbons (PFCs)",-
"1990","1A4bi Residential, stationary","Sulfur hexafluoride (SF6)",-
"1990","1A4bii Residential, off-road vehicles and other machinery","Total",144
"1990","1A4bii Residential, off-road vehicles and other machinery","Carbon dioxide (CO2)",139
"1990","1A4bii Residential, off-road vehicles and other machinery","Methane (CH4)",4
"1990","1A4bii Residential, off-road vehicles and other machinery","Nitrous oxide (N2O)",1
"1990","1A4bii Residential, off-road vehicles and other machinery","F-gases (HFCs+PFCs+SF6)",-
"1990","1A4bii Residential, off-road vehicles and other machinery","Hydrofluorocarbons (HFCs)",-
"1990","1A4bii Residential, off-road vehicles and other machinery","Perfluorocarbons (PFCs)",-
"1990","1A4bii Residential, off-road vehicles and other machinery","Sulfur hexafluoride (SF6)",-
"1990","1A4c Agriculture, forestry anf fishing","Total",1893
"1990","1A4c Agriculture, forestry anf fishing","Carbon dioxide (CO2)",1870
"1990","1A4c Agriculture, forestry anf fishing","Methane (CH4)",7
"1990","1A4c Agriculture, forestry anf fishing","Nitrous oxide (N2O)",16
"1990","1A4c Agriculture, forestry anf fishing","F-gases (HFCs+PFCs+SF6)",-
